Core-index,jlpt ,Vocab-expression,Vocab-kana,Vocab-meaning,Vocab-pos,Sentence-expression,Sentence-kana,Sentence-meaning
1672,JLPT2,乾かす,かわかす,dry,Verb,ぬれた服を乾かした。,ぬれた ふく を かわかした,I dried the wet clothes.
1673,JLPT0,休校,きゅうこう,temporary closure of school,Verbal Noun,学校は今週は休校です。,がっこう は こんしゅう は きゅうこう です,School is closed this week.
1674,JLPT0,ぐらぐら,ぐらぐら,wobble,Adverb,地震で家がぐらぐらと揺れた。,じしん で いえ が ぐらぐら と ゆれた,The house shook because of the earthquake.
1675,JLPT0,航空便,こうくうびん,airmail,Noun,航空便で書類が届きました。,こうくうびん で しょるい が とどきました,The document reached me by airmail.
1676,JLPT3,ジャム,ジャム,jam,Noun,このイチゴでジャムを作りましょう。,この いちご で じゃむ を つくりましょう,Let's make jam from these strawberries.
1677,JLPT4,スリッパ,スリッパ,slippers,Noun,スリッパをはいてください。,すりっぱ を はいて ください,Wear slippers please.
1678,JLPT0,大嫌い,だいきらい,hate,Adjectival Noun,私はテストが大嫌い。,わたし は てすと が だいきらい,I hate tests.
1679,JLPT2,畳む,たたむ,"fold, shut",Verb,布団を畳んでください。,ふとん を たたんで ください,Please fold up the futon.
1680,JLPT2,トランプ,トランプ,"(a pack of) cards, (playing) cards",Verbal Noun,友達とトランプをして遊びました。,ともだち と とらんぷ を して あそびました,I played cards with a friend.
1681,JLPT2,万歳,ばんざい,Banzai! Hurrah! Long live...!,Verbal Noun,勝った、万歳!,かった ばんざい,We won--hurray!
1682,JLPT2,番地,ばんち,"lot number, address",Noun,その建物の番地は分かりますか。,その たてもの の ばんち は わかります か,Do you know the building's plot number?
1683,JLPT2,日陰,ひかげ,the shade,Noun,暑いので日陰で休みましょう。,あつい の で ひかげ で やすみましょう,It's hot so let's take a rest in the shade.
1684,JLPT0,美容院,びよういん,beauty shop,Noun,父は美容院で髪を切ります。,ちち は びよういん で かみ を きります,My father has his hair cut at a hair salon.
1685,JLPT2,文房具,ぶんぼうぐ,"stationery, writing materials",Noun,新しい文房具を買いました。,あたらしい ぶんぼうぐ を かいました,I bought some new stationery.
1686,JLPT0,免許証,めんきょしょう,license,Noun,免許証を見せてください。,めんきょしょう を みせて ください,Please show me your license.
1687,JLPT2,訳す,やくす,translate,Verb,この文を訳してください。,この ぶん を やくして ください,Please translate this sentence.
1688,JLPT3,よろしい,よろしい,all right,Adjective,レポートはこれでよろしいですか。,れぽーと は これ で よろしい です か,Is this all right as a report?
1689,JLPT2,ラッシュアワー,ラッシュアワー,rush hour,Noun,私はラッシュアワーの電車が嫌いです。,わたし は らっしゅあわー の でんしゃ が きらい です,I hate rush hour trains.
